,chunk,chunk,chunk,chunk,chunk,chunk,chunk,dolocationid,dolocationid,dolocationid,dolocationid,pulocationid,pulocationid,pulocationid,pulocationid,trip_distance,trip_distance,trip_distance,trip_distance
,chunk,chunk,chunk,chunk,chunk,chunk,chunk,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov
,key,chunk_index,start_index,end_index,start_date,end_date,period,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert
0,[0:33066],0,0,33066,2008-12-31 23:11:00,2020-01-04 14:42:05,reference,0.008909347210319107,0.7570103158962482,,False,0.008884109741843504,0.9253637320505751,,False,0.02433987175460306,0.5297857970561294,,False
1,[33067:66133],1,33067,66133,2020-01-04 14:42:05,2020-01-07 19:06:52,reference,0.007180949367648681,0.7570103158962482,,False,0.009982018363613898,0.9253637320505751,,False,0.018470530965429444,0.5297857970561294,,False
2,[66134:99200],2,66134,99200,2020-01-07 19:06:53,2020-01-10 18:43:28,reference,0.010222740539866049,0.7570103158962482,,False,0.019283600266719936,0.9253637320505751,,False,0.024772803801875076,0.5297857970561294,,False
3,[99201:132267],3,99201,132267,2020-01-10 18:43:29,2020-01-13 18:59:43,reference,0.005998461104492647,0.7570103158962482,,False,0.012133629659786649,0.9253637320505751,,False,0.030448640078155176,0.5297857970561294,,False
4,[132268:165334],4,132268,165334,2020-01-13 18:59:43,2020-01-16 19:49:05,reference,0.012682557357166474,0.7570103158962482,,False,0.014237072248460214,0.9253637320505751,,False,0.01663757881076744,0.5297857970561294,,False
5,[165335:198401],5,165335,198401,2020-01-16 19:49:05,2020-01-19 20:52:10,reference,0.016228441523893133,0.7570103158962482,,False,0.011689882560605658,0.9253637320505751,,False,0.008710466129105865,0.5297857970561294,,False
6,[198402:231468],6,198402,231468,2020-01-19 20:52:25,2020-01-23 08:55:53,reference,0.006249399300140346,0.7570103158962482,,False,0.011904642393311349,0.9253637320505751,,False,0.02101928389950858,0.5297857970561294,,False
7,[231469:264535],7,231469,264535,2020-01-23 08:55:54,2020-01-25 23:49:19,reference,0.005735781231373083,0.7570103158962482,,False,0.014266127977620613,0.9253637320505751,,False,0.0037300551128562343,0.5297857970561294,,False
8,[264536:297602],8,264536,297602,2020-01-25 23:49:20,2020-01-29 09:36:45,reference,0.01623204413287238,0.7570103158962482,,False,0.009944496247277224,0.9253637320505751,,False,0.009647271678056776,0.5297857970561294,,False
9,[297603:330669],9,297603,330669,2020-01-29 09:36:51,2020-02-01 05:37:41,reference,0.0072690976880798175,0.7570103158962482,,False,0.009926184509222336,0.9253637320505751,,False,0.012331030719140323,0.5297857970561294,,False
10,[330670:330670],10,330670,330670,2020-02-01 23:56:49,2020-02-01 23:56:49,reference,0.7934865772928379,0.7570103158962482,,True,0.9700034172939256,0.9253637320505751,,True,0.5542911232010064,0.5297857970561294,,True
11,[0:33066],0,0,33066,2008-12-31 23:11:00,2020-01-04 14:42:05,analysis,0.008909347210319107,0.7570103158962482,,False,0.008884109741843504,0.9253637320505751,,False,0.02433987175460306,0.5297857970561294,,False
12,[33067:66133],1,33067,66133,2020-01-04 14:42:05,2020-01-07 19:06:52,analysis,0.007180949367648681,0.7570103158962482,,False,0.009982018363613898,0.9253637320505751,,False,0.018470530965429444,0.5297857970561294,,False
13,[66134:99200],2,66134,99200,2020-01-07 19:06:53,2020-01-10 18:43:28,analysis,0.010222740539866049,0.7570103158962482,,False,0.019283600266719936,0.9253637320505751,,False,0.024772803801875076,0.5297857970561294,,False
14,[99201:132267],3,99201,132267,2020-01-10 18:43:29,2020-01-13 18:59:43,analysis,0.005998461104492647,0.7570103158962482,,False,0.012133629659786649,0.9253637320505751,,False,0.030448640078155176,0.5297857970561294,,False
15,[132268:165334],4,132268,165334,2020-01-13 18:59:43,2020-01-16 19:49:05,analysis,0.012682557357166474,0.7570103158962482,,False,0.014237072248460214,0.9253637320505751,,False,0.01663757881076744,0.5297857970561294,,False
16,[165335:198401],5,165335,198401,2020-01-16 19:49:05,2020-01-19 20:52:10,analysis,0.016228441523893133,0.7570103158962482,,False,0.011689882560605658,0.9253637320505751,,False,0.008710466129105865,0.5297857970561294,,False
17,[198402:231468],6,198402,231468,2020-01-19 20:52:25,2020-01-23 08:55:53,analysis,0.006249399300140346,0.7570103158962482,,False,0.011904642393311349,0.9253637320505751,,False,0.02101928389950858,0.5297857970561294,,False
18,[231469:264535],7,231469,264535,2020-01-23 08:55:54,2020-01-25 23:49:19,analysis,0.005735781231373083,0.7570103158962482,,False,0.014266127977620613,0.9253637320505751,,False,0.0037300551128562343,0.5297857970561294,,False
19,[264536:297602],8,264536,297602,2020-01-25 23:49:20,2020-01-29 09:36:45,analysis,0.01623204413287238,0.7570103158962482,,False,0.009944496247277224,0.9253637320505751,,False,0.009647271678056776,0.5297857970561294,,False
20,[297603:330669],9,297603,330669,2020-01-29 09:36:51,2020-02-01 05:37:41,analysis,0.0072690976880798175,0.7570103158962482,,False,0.009926184509222336,0.9253637320505751,,False,0.012331030719140323,0.5297857970561294,,False
21,[330670:330670],10,330670,330670,2020-02-01 23:56:49,2020-02-01 23:56:49,analysis,0.7934865772928379,0.7570103158962482,,True,0.9700034172939256,0.9253637320505751,,True,0.5542911232010064,0.5297857970561294,,True
