tip_amount
0.01
4.06
3.54
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
8.86
1.0
0.0
0.0
0.0
0.0
0.0
10.0
0.96
0.0
0.0
0.0
0.0
3.06
4.82
0.0
0.0
0.0
0.0
2.93
2.5
0.0
0.0
0.0
3.25
3.0
0.0
3.71
1.96
0.05
2.82
3.32
3.36
0.0
0.0
0.0
5.0
0.0
0.0
0.0
0.0
1.86
0.0
1.96
0.0
0.0
0.0
0.0
3.91
0.0
5.71
1.0
5.0
4.21
0.0
0.0
1.56
0.0
0.0
0.0
0.0
0.0
0.0
8.0
0.0
0.0
4.13
6.02
4.06
1.36
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
4.74
2.06
0.0
6.62
6.51
0.0
1.06
0.0
0.0
0.0
0.0
0.0
6.32
4.01
3.86
20.0
5.04
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.7
0.0
3.35
1.16
2.0
4.16
2.66
0.0
0.0
1.86
2.06
0.0
0.0
0.0
2.94
2.16
0.0
0.0
0.0
2.55
0.0
0.0
1.0
0.0
20.0
0.0
0.0
0.0
2.0
0.0
0.0
0.0
0.0
5.64
0.0
3.01
5.0
4.8
2.08
0.0
0.0
4.0
0.0
0.0
0.0
0.0
0.0
1.65
0.0
0.0
0.0
0.0
0.0
0.01
2.35
0.0
0.0
0.0
0.0
0.88
2.66
1.46
2.21
1.56
0.0
0.0
0.0
1.46
2.46
0.0
0.0
1.56
0.0
2.0
3.66
2.49
5.26
0.0
0.0
0.0
0.0
0.0
0.0
1.16
0.0
10.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
10.0
0.0
1.83
0.0
0.0
0.0
0.0
1.86
0.0
0.0
13.82
0.0
4.08
4.71
0.0
1.0
1.5
0.0
2.58
0.0
2.15
0.0
0.0
2.33
3.09
0.0
0.0
0.02
0.01
0.0
3.0
3.86
2.2
0.0
5.81
0.0
0.0
0.0
9.06
1.66
4.26
0.0
0.0
0.0
0.0
0.0
0.0
8.21
4.95
0.0
0.0
0.0
0.0
0.0
1.36
0.0
0.0
5.11
3.96
3.7
7.44
1.0
0.0
0.0
0.0
0.0
1.0
0.0
0.0
2.0
0.0
0.0
0.0
0.0
0.0
0.0
1.86
0.0
0.0
0.96
1.76
1.0
0.0
0.0
5.95
2.36
0.0
4.96
1.36
0.0
0.0
0.0
0.0
0.0
0.0
0.0
4.7
0.0
0.0
2.34
0.0
3.32
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.5
0.0
3.46
1.0
8.42
2.21
0.0
2.19
6.08
